hospital_system,borough,cms_acute_hospitals,hcahps_complete_hospitals
BronxCare Health System,Bronx,1,1
Episcopal Health Services,Queens,1,1
Hospital for Special Surgery,Manhattan,1,1
Maimonides Health,Brooklyn,1,1
MediSys Health Network,Queens,2,2
Montefiore Health System,Bronx,1,1
Mount Sinai Health System,Manhattan,4,3
NYC Health + Hospitals,Bronx,2,2
NYC Health + Hospitals,Brooklyn,3,3
NYC Health + Hospitals,Manhattan,3,3
NYC Health + Hospitals,Queens,2,2
NYU Langone Health,Manhattan,1,1
New York Community Hospital,Brooklyn,1,1
NewYork-Presbyterian,Manhattan,1,1
NewYork-Presbyterian,Queens,1,1
Northwell Health,Manhattan,1,1
Northwell Health,Staten Island,1,1
One Brooklyn Health,Brooklyn,1,1
Richmond University Medical Center,Staten Island,1,1
SUNY Downstate Health Sciences University,Brooklyn,1,1
St. Barnabas Hospital / SBH Health System,Bronx,1,1
The Brooklyn Hospital Center,Brooklyn,1,1
Wyckoff Heights Medical Center,Brooklyn,1,1
